date,Title,Content,tokens
2023-10-30T11:51:00,공항 건설 현장 대형 암석 불법 매립 부실 공사 의혹 논란,공항 공사 현장 대형 암석 불법 매립 논란 확산 취재 결과 불법 매립 대형 암석 발견 제거 작업 진행 대부분 공사 현장 대형 암석 나오 보통 하로 파쇄 매립 현장 채산 대형 암석 파쇄 거치 중장비 동원 매립 확인 표준 시방서 매립 가능 암석 크기 기준 점성 재료 사용 관련 매립 과정 원활 바지선 접안 시설 임시 만드 과정 발생 문제 해명 건설 전문 업체 관계자 매립 암반 크기 기초 안전 중요 역할 대형 암석 들어가 흙다짐 천공 현장 강도 일률 매립 안정 강도 확보 어렵 강조 바지선 접안 시설 설치 지역 일부 매립 전체 지역 매립 정확 조사 필요 지적 일각 협력 업체 수박 겉핥 며칠 장비 투입 대형 암석 원상 복구 소나기 피하 대응 우려 목소리 주민 소음 비산 먼지 주민 부실시공 국내 최대 시공 능력 자랑 공사 수년 변명 거짓말 국내 최대 한탄 주민 공항 울릉군 주민 염원 현장 환경 피해 인근 주민 환경 측면 불편 공기 주민 피해 피해 부실 공사 암반 매립 불법 시공 원상 복구 공사 공항 건설 공사 준공 목표 사업비 활주로 여객기 경비행기 헬기 수용 계류장 여객 터미널 설치 국토 지방항 공청 발주 컨소시엄,공항 공사 현장 대형 암석 불법 매립 논란 확산 취재 결과 불법 매립 대형 암석 발견 제거 작업 진행 대부분 공사 현장 대형 암석 나오 보통 하로 파쇄 매립 현장 채산 대형 암석 파쇄 거치 중장비 동원 매립 확인 표준 시방서 매립 가능 암석 크기 기준 점성 재료 사용 관련 매립 과정 원활 바지선 접안 시설 임시 만드 과정 발생 문제 해명 전문 업체 관계자 매립 암반 크기 기초 안전 중요 역할 대형 암석 들어가 흙다짐 천공 현장 강도 일률 매립 안정 강도 확보 어렵 강조 바지선 접안 시설 설치 지역 일부 매립 전체 지역 매립 정확 조사 필요 지적 일각 협력 업체 수박 겉핥 며칠 장비 투입 대형 암석 원상 복구 소나기 피하 대응 우려 목소리 주민 소음 비산 먼지 주민 부실시공 최대 시공 능력 자랑 공사 수년 변명 거짓말 최대 한탄 주민 공항 울릉군 주민 염원 현장 환경 피해 인근 주민 환경 측면 불편 공기 주민 피해 피해 부실 공사 암반 매립 불법 시공 원상 복구 공사 공항 공사 준공 목표 사업비 활주로 여객기 경비행기 헬기 수용 계류장 여객 터미널 설치 국토 지방항 공청 발주 컨소시엄
2023-07-21T10:07:00,부고 본부 모친상,별세 원자력 연구원 박사 본부 모친상 더불 국회의원 부장 장모 병원 장례식장 발인 오전 기사 섹션 분류 기사 추천,별세 원자력 연구원 박사 본부 모친상 더불 국회의원 부장 장모 병원 장례식장 발인 오전 분류 추천
2023-10-13T18:48:00,그룹 현장 영상,국회 환경 노동 위원회 국정 감사 안전 불감증 비판 아파트 건설 현장 추락 사건 주목 건설 아파트 유리 교체 가량 무게 창호 건물 추락 하청 업체 유리 옮기 교체 책임 주장 최근 회사 해명 공사 관계자 단체 대화방 내용 공개 거짓말 의혹 중대 재해 방서 책임 떠넘기 지난해 대재 처벌 시행 건설 현장 사고 노동자 국감 대표 이사 국회 출석 안전 대책 강화 약속 올해 사망 사고 의원 대주주 경영 책임자 대표 그룹 총수 그룹 회장 증인 출석 유족 진상 규명 경영자 처벌 촉구 대표 발언 어제 발언 영상 확인,국회 환경 노동 위원회 국정 감사 안전 불감증 비판 아파트 현장 추락 사건 주목 아파트 유리 교체 가량 무게 창호 건물 추락 하청 업체 유리 옮기 교체 책임 주장 최근 회사 해명 공사 관계자 단체 대화방 내용 공개 거짓말 의혹 중대 재해 방서 책임 떠넘기 대재 처벌 시행 현장 사고 노동자 국감 대표 이사 국회 출석 안전 대책 강화 약속 사망 사고 의원 대주주 경영 책임자 대표 그룹 총수 그룹 회장 증인 출석 유족 진상 규명 경영자 처벌 촉구 대표 발언 어제 발언 영상 확인
2023-07-21T18:34:00,부고 별세,별세 원자력 연구원 박사 회무 본부 모친상 더불 국회의원 부장 장모 병원 발인 오전 별세 취재 본부 스타 그룹 고문 부친상 오후 양산 병원 발인 오전 기사 섹션 분류 기사 추천,별세 원자력 연구원 박사 회무 본부 모친상 더불 국회의원 부장 장모 병원 발인 오전 별세 취재 본부 스타 그룹 고문 부친상 오후 양산 병원 발인 오전 분류 추천
2023-07-22T00:48:00,부고,화학 임원 별세 약국 약사 남편 가톨릭 교수 미영 우먼 매니저 부친상 개인 정보 보호 위원회 국제 협력 담당관 부상 발인 오전 별세 원자력 연구원 박사 회무 본부 모친상 더불 국회의원 부장 장모 병원 발인 오전 기사 섹션 분류 기사 추천,화학 임원 별세 약국 약사 남편 가톨릭 교수 미영 우먼 매니저 부친상 개인 정보 보호 위원회 국제 협력 담당관 부상 발인 오전 별세 원자력 연구원 박사 회무 본부 모친상 더불 국회의원 부장 장모 병원 발인 오전 분류 추천
2023-07-27T17:19:00,상반기 영업 이익 증가 토목 사업,상반기 경영 실적 공시 영업 이익 소폭 감소 신규 수주 증가 올해 분기 경영 실적 발표 영업 이익 지난해 동기 증가 신규 수주 호조 연결 기준 올해 분기 영업 이익 지난해 동기 증가 잠정 집계 순이익 상반기 매출 지난해 동기 대비 증가 영업 이익 지난해 동기 증가 상반기 신규 주액 지난해 동기 대비 감소 연간 계획 올해 상반기 기준 수주 잔고 연간 매출액 대비 여치 일감 확보 상태 관계자 부동산 경기 침체 원자재 외주 급등 주택 건축 사업 원가 상승 토목 사업 부문 플랜트 사업 부문 트레인 해외 대형 프로젝트 매출 이익 설명 연결 기준 올해 분기 영업 이익 지난해 동기 감소 잠정 집계 이날 상반기 매출 지난해 동기 대비 증가 영업 이익 지난해 상반기 신규 수주 지난해 동기 증가 토목 부문 사업비 규모 해저 터널 수주 플랜트 사업 부문 에스 오일 투자 역대 최대 규모 국내 석유 화학사 업인 규모 패키지 공사 수주 성과 관계자 이번 수주 실적 포함 협상 대상자 선정 규모 도시 개발 사업 가운데 분기 인식 전망 기사 섹션 분류 기사 추천,상반기 경영 실적 공시 영업 이익 소폭 감소 신규 수주 증가 경영 실적 발표 영업 이익 동기 증가 신규 수주 호조 연결 기준 영업 이익 동기 증가 잠정 집계 순이익 상반기 매출 동기 대비 증가 영업 이익 동기 증가 상반기 신규 주액 동기 대비 감소 연간 계획 상반기 기준 수주 잔고 연간 매출액 대비 여치 일감 확보 상태 관계자 부동산 경기 침체 원자재 외주 급등 주택 건축 사업 원가 상승 토목 사업 부문 플랜트 사업 부문 트레인 해외 대형 프로젝트 매출 이익 설명 연결 기준 영업 이익 동기 감소 잠정 집계 이날 상반기 매출 동기 대비 증가 영업 이익 상반기 신규 수주 동기 증가 토목 부문 사업비 규모 해저 터널 수주 플랜트 사업 부문 에스 오일 투자 역대 최대 규모 석유 화학사 업인 규모 패키지 공사 수주 성과 관계자 이번 수주 실적 포함 협상 대상자 선정 규모 도시 개발 사업 인식 전망 분류 추천
2023-01-09T18:02:00,구역 건축 수주 가구 규모,구역 공공재 개발 사업 선정 구역 주민 대표 회의 개최 선정 총회 최종 선정 번지 이번 공공재 개발 지하 지상 가구 규모 아파트 복합 상가 탈바꿈 예정 공사비 상반기 착공 구역 지하철 도보 인접 백화점 대형 마트 학교 생활 인프라 갖추 구역 공공재 개발 시범 사업 구역 선정 도시 정비 구역 지정 공공재 개발 시범 사업 구역 선정 용적 상향 규제 완화 사업 진행 속도 관계자 구역 역세 입지 학군 시설 향후 지역 대표 완성 기사 기사 섹션 분류 안내,구역 공공재 개발 사업 선정 구역 주민 대표 회의 개최 선정 총회 최종 선정 번지 이번 공공재 개발 지하 지상 가구 규모 아파트 복합 상가 탈바꿈 예정 공사비 상반기 착공 구역 지하철 도보 인접 백화점 대형 마트 학교 생활 인프라 갖추 구역 공공재 개발 시범 사업 구역 선정 도시 정비 구역 지정 공공재 개발 시범 사업 구역 선정 용적 상향 규제 완화 사업 진행 속도 관계자 구역 역세 입지 학군 시설 향후 지역 대표 완성 분류 안내
2023-01-26T11:33:00,지난해 분기 상위 건설사 건설 현장 사망,국토 분기 사망 사고 집계 사고 발생 건설 현장 특별 점검 지난해 분기 시공 능력 평가 상위 건설사 건설 현장 발생 사망자 국토 지난해 분기 건설 현장 사망 사고 집계 전국 사망 사고 발생 가운데 건설 업장 복수 사망자 발생 사망자 에스 건설 현장 지난해 에스 건설 시공 창고 신축 공사 현장 작업자 추락 건설 건설 중흥 토건 건설 대보 건설 공사 현장 사망자 발생 시공 능력 평가 분기 연속 사망 사고 발생 국토 지난해 분기 사망 사고 발생 대형 건설사 급사 건설 현장 대상 올해 특별 점검 점검 에스 건설 현장 집중 정밀 점검 예정 기사 섹션 분류 안내,국토 사망 사고 집계 사고 발생 현장 특별 점검 시공 능력 평가 상위 건설사 현장 발생 사망자 국토 현장 사망 사고 집계 전국 사망 사고 발생 업장 복수 사망자 발생 사망자 에스 현장 에스 시공 창고 신축 공사 현장 작업자 추락 중흥 토건 대보 공사 현장 사망자 발생 시공 능력 평가 연속 사망 사고 발생 국토 사망 사고 발생 대형 건설사 급사 현장 대상 특별 점검 점검 에스 현장 집중 정밀 점검 예정 분류 안내
2023-08-24T10:09:00,디자인 수상 글로벌,산업 디자인 협회 주관 디자인 디자인 전략 부문 본상 수상 산업 디자인 분야 중점 글로벌 디자인 올해 주택 브랜드 아크로 세상 브랜드 가이드라인 아워 수상 성공 아워 단순 브랜드 가이드라인 브랜드 관계자 신념 브랜드 접점 일관 메시지 시각 요소 전달 철학 디자인 전략 조경 사이 커뮤니티 시설 디자인 광범위 내용 이달 아워 브랜드 가이드라인 디자인 전략 부문 본상 수상 이번 수상 올해 글로벌 디자인 달성 관계자 글로벌 디자인 손꼽히 연달 수상 아크로 세상 디자인 우수 인정받 브랜드 전략 비전 구현 매력 디자인 공간,산업 디자인 협회 주관 디자인 디자인 전략 부문 본상 수상 산업 디자인 분야 중점 글로벌 디자인 주택 아크로 가이드라인 아워 수상 성공 아워 단순 가이드라인 관계자 신념 접점 일관 메시지 시각 요소 전달 철학 디자인 전략 조경 사이 커뮤니티 시설 디자인 광범위 내용 이달 아워 가이드라인 디자인 전략 부문 본상 수상 이번 수상 글로벌 디자인 달성 관계자 글로벌 디자인 손꼽히 연달 수상 아크로 디자인 우수 인정받 전략 비전 구현 매력 디자인 공간
2023-10-24T11:12:00,아크로 다방 아파트 선호 조사,부동산 플랫폼 업체 다방 운영 스테이션 아파트 브랜드 선호도 설문 조사 아크로 차지 다방 따르 지난달 전국 남녀 대상 아파트 브랜드 선호도 설문 조사 실시 결과 아크로 전체 응답 차지 차지 주거 브랜드 아크 아크 아크 파크 아크 하임 고급 단지 선보이 대표 아파트 브랜드 건설 디에이치 고객 선호도 아파트 이유 질문 고급 브랜드 이미지 수영장 조식 제공 다양 커뮤니티 시설 디자인 고급 자재 스마트 기능 첨단 시스템 우수 시공 능력 유지 보수 프라이빗 품격 다방 마케팅 실장 최근 아파트 고급 디자인 자재 커뮤니티 시설 독보 특화 설계 기술력 소비자 니즈 반영 차별 요소 접목 추세 소비자 취향 세분화 다양 고급 차별 아파트 수요,부동산 플랫폼 업체 다방 운영 스테이션 아파트 선호도 설문 조사 아크로 차지 다방 따르 지난달 전국 남녀 대상 아파트 선호도 설문 조사 실시 결과 아크로 전체 응답 차지 차지 주거 아크 아크 아크 파크 아크 하임 고급 단지 선보이 대표 아파트 디에이치 고객 선호도 아파트 이유 질문 고급 이미지 수영장 조식 제공 다양 커뮤니티 시설 디자인 고급 자재 스마트 기능 첨단 시스템 우수 시공 능력 유지 보수 프라이빗 품격 다방 마케팅 실장 최근 아파트 고급 디자인 자재 커뮤니티 시설 독보 특화 설계 기술력 소비자 니즈 반영 차별 요소 접목 추세 소비자 취향 세분화 다양 고급 차별 아파트 수요
