date,titleToken,contentToken
2023-07-01,브랜드 커뮤니티 요즘 아파트 조건,진화 아파트 호텔 조식 중식 서비스 기본 실내 수영장 루프 풀로 커뮤니티 시설 고급 개포 루프 전경 사진 온라인 커뮤니티 아파트 시대 거울 국내 아파트 당시 유행 최신 트렌드 반영 평면 구조 커뮤니티 시설 주거 문화 어떻 변모 파악 최근 부촌 자리 규모 아파트 조식 서비스 영화관 나가 문화 생활 고급 서비스 시설 특징 부동산업 따르 최근 아파트 가격 호가 단지 고급 커뮤니티 시설 경쟁 들어서 모습 입지 재건축 사업 진행 추진 아파트 제외 신축 아파트 선호도 압도 규모 아파트 차이 벌어지 단지 관리비 다양 커뮤니티 시설 조식 서비스 반찬 걱정 입주민 식사 제공 서비스 대형 건설사 고급 브랜드 적용 아파트 부동산 시장 주도 브랜드 적용 개포 개포 주공 재건축 디에이치 브랜드 디에이치 개포 주공 재건축 건설 자이 디에이치 디에이치 개포 개포 주공 재건축 대표 아파트 입주민 대상 식사 서비스 제공 노년층 중심 맞벌이 가정 늘어나 음식 조리 문화 식당 식사 주문 문화 변화 트렌드 반영 개포 입주민 스토리 한식 양식 메뉴 조식 중식 구성 운영 식사 제공 서비스 이용 디에이치 클럽 오전 오후 주문 입주민 호텔 프렌치토스트 샐러드 디에이치 개포 호텔 케이 전문 업체 입주민 조식 중식 서비스 제공 한식 품식 메뉴 이용 가능 샐러드 박스 박스 포장 디에이치 개포 프리미엄 카페 브랜드 메이 플레이스 입점 프리미엄 커피 전문점 고품질 원두 활용 커피 메뉴 시즌 음료 고급 아파트 브랜드 아크로 적용 아크 파크 아파트 시장 단지 아크 파크 경우 티하 우스 요일 달라지 호텔 조식 서비스 양식 한식 미만 이용 입주민 하루 신청 해당 호수 오전 배달 서비스 지원 아크 파크 전경 사진 누리 루프 눈길 관리 까다롭 비용 문화 시설 고급 단지 일반 아파트 단지 구분 기준 고급 아파트 상징 기준 떠오르 고급 문화 시설 수영장 실내 수영장 갖추 고급 아파트 위치 디에이치 최근 시각 경계 보이 영장 고급 아파트 커뮤니티 시설 트렌드 이동 해외 휴양지 중심 해변가 호텔 수영장 사진 수면 수평선 무한대 이어지 설계 영장 수영 실내 공간 의미 옥상 루프 라이프 스타일 고급 문화 시설 대표 소셜 네트워크 서비스 중심 여유 만끽 사진 동영상 인기 고품격 문화 생활 입주민 각광 모습 입주 시작 개포 국내 아파트 가운데 처음 루프 단지 적용 부동산 시장 주목 사계절 우리나라 특성 외부 수영장 경우 여름 이용 가능 정도 사용 인건비 관리비 소요 건설업 최소 가구 이상 고급 아파트 운영 입주민 부담 분석 대형 건설사 관계자 예전 고급 아파트 따지 기준 학군 입지 내부 구조 요즘 조합원 단지 강점 특색 커뮤니티 시설 중시 입지 규모 조식 중식 서비스 입주민 선호도 커뮤니티 시설 아파트 가격 형성 인식 커지 커뮤니티 시설 고급 경쟁 평가
2023-07-01,염수 방류 불안감 국내산 육상 양식 연어 쏠리,최근 염수 방류 국민 관심사 가운데 국내 기업 육상 연어 양식 사업 관심 쏠리 연어 세계 수요 증가 지구 온난 어획량 감소 어종 최근 해양 수산물 염수 불안감 가중 연어 품귀 현상 일파만파 번지 기존 바다 먹거리 우려 내륙 양식 육상 연어 정도 상쇄 전망 나오 양식 연어 비즈니스 각광 업계 따르 건설 이르 국내 양식 연어 출하 건설 국내 최초 쇄식 육상 순환 방식 연어 양식 시설 착공 스마트 양식 사업 본격화 선언 스마트 양식 테스트 베드 대학교 수산 과학 연구소 규모 부지 지하 지상 규모 준공 목표 건립 건설 관계자 스마트 양식 테스트 베드 이르 준공 지금 전량 수입 서양 연어 생산 국내 수산업 지속 가능 성장 기여 기대 대학교 수산 과학 연구소 건립 스마트 양식 테스트 베드 조감도 사진 건설 건설 연간 규모 서양 연어 생산 테스트 베드 태양광 풍력 친환경 에너지 설비 설치 센서 정보 처리 설비 자동 제어 시스템 사료 자동 장치 재생 에너지 활용 효율 시스템 기반 구축 진행 예정 건설 테스트 베드 착공 사업 추진 자회사 설립 수산 자원 연구소 연어 시험 양성 진행 초미세 플라스틱 제거 기술 관련 특허 출원 질병 예방 대응 기술 연구 완료 상태 테스트 베드 서양 연어 발안 출하 친어 단계 아우르 계획 생산 시스템 구축 시설 설계 단계 연어과 어류 규모 생산 기술 개발 공간 조성 시설 기능 연계 극대 건설 연어 양식 신사업 낙점 이유 국내 연어 시장 성장 가능 판단 풀이 나라 서양 연어 전량 수입 국내 냉장 연어 이상 수입 증가세 보이 수산 정보 따르 국내 연어 수입 중량 금액 모습 건설 자회사 세계 해수 담수화 업체 니마 처리 기술 보유 폐수 처리 핵심 기술 관련 기술 확보 스마트 양식 테스트 베드 건설 정수 이용 해수 담수화 고도 처리 플랜트 건설 경험 활용 양식장 정화 순환 시스템 도입 청정 수질 어류 건강 성장 관리 기술 융합 미래형 육상 양식 시설 기대 추진 환경 스마트 육상 연어 양식 조감도 사진 참치 주력 연어 양식 사업 뛰어들 양양군 부지 단계 투자 육상 연어 양식 단지 착공 순차 운영 계획 본격 서양 연어 출하 예정 목표 출하량 연간 연어 양식 기술 가지 스타트업 양식장 사업 전담 자회사 케이 스마트 설립 양식 장명 동원 양양 상표 출원 양사 직원 교류 연어 양식 기술 수입 연어 양식장 완공 연어 훈제 연어 상품 국내 공급 예정 관계자 연말 연어 양식장 착공 시작 예정 이번 양식 단지 향후 최대 수산 육성 계획
2023-07-01,파이널 키친 음식물 처리 라이브 방송 진행,자이 미생물 음식물 처리 파이널 키친 사진 제공 자이 뉴스 도민 자이 쇼핑 프리미엄 음식물 처리 파이널 방송 진행 방송 본격 여름 앞두 음식물 처리 장만 고민 소비자 마련 쇼핑 자이 혜택 준비 라이브 구매 고객 라이브 방송 시간 동안 제품 구매 고객 전원 리트 냄비 백화점 상품권 증정 라이브 추첨 상담 신청 고객 대상 현금 제공 이벤트 이벤트 예정 프리미엄 미생물 음식물 처리 파이널 키친 특허 미생물 음식물 분해 건조 배양 친환경 음식물 처리 냄새 걱정 음식물 처리 특징 건설 자회사 에스 자이 개발 생산 파이널 키친 감각 디자인 자랑 세계 디자인 워드 제품 디자인 부문 최고상 해당 수상 본상 파이널 키친 담당자 여름 음식물 처리 구매 고민 고객 혜택 할인 프로모션 준비 고객 관심 부탁 쇼핑 채널 고객 예정 기대
2023-07-02,공사 건설업 미래 먹거리 모듈러 황재 황금,건설업 미래 먹거리 급부상 모듈러 경기 행복 주택 공사 기간 단축 공사비 환경 문제 줄이 생산 국내 시장 해외 규모 황금 선정 금주 부동산 정보 매주 달하 부동산 관련 정보 쏟아지 시대 정보 찾아내 옥석 가리 독자 수고 알짜 부동산 정보 의미 정리 모듈러 공법 건설업 미래 먹거리 사진 경기 지구 위치 경기 행복 주택 가운데 전경 정부 국가 사업 추진 주택 경기 주택 도시 공사 발주 현대 엔지니어링 시공 현대 엔지니어링 제공 주택 건설 산업 혁신 아이콘 부상 국토 장관 지난달 경기 진행 공공 임대 주택 경기 행복 주택 준공식 참석 기념사 건설 산업 미래 먹거리 시장 활성 정부 업계 합심 성장 잠재력 올리 이날 주택 지하 지상 신축 아파트 높이 건축물 깊이 지하 터널 기술력 시대 정도 규모 마찬가지 장관 기대 까닭 모듈러 공법 적용 모듈러 공법 기본 골조 전기 배선 현관문 욕실 아파트 공장 아파트 단지 현장 조립 방식 현장 건설 영어 단어 글자 모듈러 공법 인류 건설 공사 방식 변화 예상 일반 건설 공사 공사 현장 각종 자재 수많 인력 달라붙 붙이 방식 진행 작업 사람 현장 반면 모듈러 공법 전체 작업 공장 진행 과정 적잖 작업 로봇 활용 건설 공사 기간 줄어들 사람 거치 공사 품질 균일 건설 공사 품질 생산 제조업 수준 기후 변화 환경 규제 강화 전통 의미 건설업 설자리 예상 국내 건설업 노동 강성 건설 노조 전문 건설 인력 노무 상승 폭발 민원 공기 지연 원가 상승 문제 커지 모듈러 공법 문제 해결 대안 주목 주요 선진국 모듈러 공법 적극 활용 전제 주택 시장 모듈러 공법 활용 비율 달하 고층 건축물 등장 반면 시범 도입 수준 걸음마 단계 장관 기대 모듈러 공법 활성 건설업 미래 먹거리 공사 경기 행복 주택 공장 사전 제작 모듈 짜리 아파트 타워 크레인 방식 건설 사진 모듈 적층 공사 한창 경기 행복 주택 현장 모습 현대 엔지니어링 제공 가능 경기 행복 주택 건설 과정 필요 정부 국책 사업 진행 중고 모듈러 주택 실증 사업 일환 추진 사업 모듈러 공법 높이 아파트 세계 전체 아파트 전용 면적 기준 크기 원룸 거실 화장실 주방 크기 신혼 부부 주택 거실 화장실 주방 준공 승인 입주자 모집 공고 청년 고령자 주거 약자 신혼 부부 보금자리 활용 예정 가운데 스포츠 시설 주민 공동 시설 시설 들어서 지하 지상 건물 전체 지지대 역할 계단실 엘리베이터 일반 아파트 철근 콘크리트 이용 건물 전체 하중 떠안 부분 안전 고려 조치 나머지 지상 진천 위치 공장 사전 제작 과정 자재 절단 모듈 아파트 조립 철근 배근 아파트 바닥 콘크리트 전기 배관 배선 외부 마감 실내 마감 단계 진행 과정 신발장 옷장 화장실 가구 가전제품 설치 만들 컨테이너 박스 모양 모듈 아파트 짜리 짜리 연결 제작 짜리 지붕 옥상 모듈 아파트 모듈 제작 이유 운반 적용 도로 교통 규제 피하 단일 화물 중량 맞추 현재 이내 규모 가능 이후 현장 운반 블록 조립 공사 기간 터파 준공 일반 공법 활용 아파트 건설 기간 표준 공기 기준 정도 시공 현대 엔지니어링 현장 소장 모듈 과정 소요 노조 파업 외부 변수 이내 처리 가능 과정 기존 방식 최소 정도 필요 정부 이번 주택 과정 모듈러 공법 활용 축물 콘크리트 건축물 부실 편견 없애 주력 지진 화재 운반 시공 단계 안전 연구 검증 진행 층간 소음 차단 기술 적용 결과 지진 강도 이상 층간 소음 등급 주택 완성 외면 일반 공법 어렵 소장 브랜드 사용 고급 마감재 전자 제품 설치 일반 공공 임대 아파트 고급 사망 사고 건설업 대안 주목 모듈러 공법 사망 사고 만년 건설업 불명예 해결 대안 기대 중대 재해 처벌 시행 하루 경기 아파트 공사 현장 모습 모듈러 공법 장점 공사 기간 단축 전문가 모듈러 공법 일정 수준 오르 일반 아파트 이상 걸리 공사 기간 평균 정도 예상 공사 기간 단축 공사비 감축 공사 기간 인건비 소음 분진 발생 공사 과정 발생 민원 대응 효과 주요 선진국 적극 모듈러 공법 활용 직접 이유 공장 전체 공정 과정 공사비 자재 낭비 최소 현재 목재 철근 각종 자재 주문 현장 상황 방식 진행 과정 자투리 건설 폐기물 생기 일쑤 반면 모듈 규격 자재 제작 문제 기존 철근 콘크리트 축물 만들 모듈 활용 사용 장점 경비 탄소 절감 효과 국토 모듈러 공법 활용 주택 경우 이상 활용 가능 철골 구조 활용 기존 건설 방식 대비 탄소 배출 이상 기대 건설업 고질 문제 생산 건설 업종 전통 노동 집약 산업 숙련공 부족 노령 현장 시공 방식 표준 어렵 결과 건설업 현장 낭비 시간 전체 공정 해외 연구 기관 분석 제조업 웃도 최근 산업 화두 중대 재해 처벌 효과 대응 시행 각종 산업 현장 발생 근로자 사망 사고 인명 피해 도입 산업재 사망 사고 발생 건설업 독차지 고용 노동부 따르 발생 전체 대재 사고 사망자 집계 가운데 건설업 사고 사망자 기록 전년 대비 사고 건수 사망자 수도 감소 전체 사고 절반 이상 차지 기후 변화 변수 발생 옥외 작업 대부분 차지 업종 특성 모듈러 공법 적극 도입 외부 작업 사고 가능 국내 대형 건설사 참여 모듈러 건설 시장 국내외 빠르 성장 국내 대형 건설 업체 최근 시장 진출 선언 사진 공장 자이 주택 모듈 생산 모습 건설 제공 모듈러 공법 활용 건설 시장 국내외 속도 성장 빼놓 매력 국내 시장 수준 올라서 성장 예상 세계 모듈러 건축 시장 성장세 기준 규모 추산 규모 성장 분석 거대 미래형 신도 시인 시티 건설 추진 전쟁 치르 규모 모듈러 공사 발주 기대 고려 국내 건설 업체 적극 나서 이번 경기 행복 주택 시공 주도 현대 엔지니어링 모듈러 공법 연구 개발 시공 역량 확보 노력 이번 사업 노하우 바탕 모듈러 주택 시장 부지 복합 민간 참여 공공 주택 사업 예정 건설 부문 글로벌 모듈러 시장 진출 업무 협약 국내 글로벌 모듈러 시장 개척 모으 건설 모듈러 주택 전문 업체 인수 시장 참여 선언 상태 글로벌 모듈러 주택 사업 참여 공식 활성 넘어서 걸림돌 적잖 철근 콘크리트 재료 활용 현장 인력 투입 건설 방식 기반 만들 각종 제도 모듈 활성 발목 건축물 기준 조정 요소 지목 구조 건물 화재 발생 일정 시간 동안 번지 기준 해당 기준 일정 두께 이상 판단 모듈러 건축 경우 콘크리트 사용 실효 기준 필요 대학교 건축학 교수 주요 선진국 고층 건물 기준 기준 모듈 공사비 공사 기간 줄이 어려움 국제 표준 필요 모듈러 포함 공업 주택 부정 인식 극복 과제 국내 모듈러 공법 공법 활용 조립식 주택 유행 공법 기둥 구조물 콘크리트 주재료 사용 사전 제작 현장 조립 반면 모듈러 공법 철골 구조물 주재료 사용 구조물 이외 아파트 들어가 화장실 가구 사전 제작 차이 공법 대표 아파트 선수 당시 공법 아파트 가운데 구조 구조 연결 연결 부위 부실 문제 발생 발코니 일부 시설물 터지 사회 문제 조립식 주택 부정 여론 중반 이후 아파트 건설 현장 공법 사용
2023-07-02,건설업 제조업 모듈러 건축 기업 자구 노력 선행,건설업 제조업 기대 모듈러 건축 관련 지속 수요 창출 해외 시장 진출 요구 과정 기준 충족 연구 개발 투자 확대 수익 담보 비용 검토 기업 자구 노력 선행 주장 제기 건설 산업 연구원 최근 발간 건설 동향 브리핑 적정 이윤 확보 파산 사례 발생 모듈러 건축 산업 현대 엔지니어링 시공 국내 최고 모듈러 주택 경기 행복 주택 전경 사진 제공 현대 엔지니어링 모듈러 건축 주요 구조물 건축 마감 포함 모듈러 유닛 공장 제작 현장 조립 방식 시공 현장 변수 최소 고품질 장점 모듈러 건축 공공 주도 추진 일부 기업 지속 적자 재무 악화 일례 모듈러 회사 제너럴 홈스 모듈러 운영 유지 상당 고정 비용 지출 반면 정확 수요 예측 어려움 장기간 계획 지연 영향 누적 손실 발생 생산 시설 폐쇄 임직원 해고 추진 산연 모듈러 건축 생산 공장 설립 운영 유지 자금 투자 제품 생산 추가 비용 필요 저조 이윤 사업 업계 투자 결정 상황 합리 수익 창출 공장 최대 생산 용량 근접 운영 건설 산업 경우 정확 수요 예측 어렵 지속 수요 창출 해외 시장 진출 관련 산연 세계 시장 기업 경쟁력 시각 필요 기업 규모 투자 고정 비용 지출 수반 검토 필요 모듈러 건축 활성 방안 꼽히 기준 완화 사용 안전 측면 강조 현행 건축법 이상 건물 화재 발생 시간 모듈러 주택 성능 입증 그동안 높이 그러 최근 현대 엔지니어링 높이 경기 행복 주택 모듈러 방식 준공 내화재 방화 석고 덧칠 화재 안전 건설 철골 모듈러 시스템 특허 등록 완료 산연 산업 기술 도입 규제 개선 당위 공감 사용 안전 영향 현행 기준 완화 기업 차원 자구 노력 선행 유도 정책 지원 방안 필요 한편 국내 모듈러 건축 시장 규모 기준 국토 모듈러 건축 산업 육성 발전 공동 참여 정책 협의회 출범
2023-07-03,사설 노총 노동자 권익 반정부 파업 중단,정권 퇴진 구호 정치 파업 국민 공감 구시대 방식 버리 조합원 실질 도움 지난달 오후 건설 회관 노총 전국 건설 노동조합원 건설 노조 탄압 중단 집회 민중 노총 오늘 일정 총파업 공공 운수 노조 화물 연대 운송 거부 사태 이후 전국 규모 파업 시작 전체 조합원 참가 최대 규모 규모 파업 이유 노동 현안 거리 구호 노동 민생 평화 파괴 정권 퇴진 총파업 노총 위원장 총파업 정권 전면 싸움 출발 주장 정치 효과 노리 파업 노골 군부 독재 과거 관행 구시대 투쟁 방식 되풀이 민주 노총 전국 단위 노조 노총 총파업 제도 정부 정책 반대 정치 파업 성격 정부 기업 이익 고려 노동자 일방 불리 정책 추진 경우 개별 사업장 임금 근로 조건 개선 한계 국민 이제 노총 산별 노조 대통령 연금 개혁 반대 총파업 나서 정치 파업 일방 비난 노총 이번 총파업 광화문 참여 염수 해양 투기 저지 대회 예정 총선 고려 야당 집중 공략 현안 파업 주요 명분 이유 노동자 권익 어렵 반정부 투쟁 효과 설득력 파업 촛불 집회 탄핵 분위기 마지막 정권 퇴진 결의 대회 마찬가지 노총 다음 군사 훈련 중단 투쟁 나서 노동 현안 반정부 투쟁 지속 계획 국제 기준 생각 상식 인정 정치 파업 수준 노총 정치 투쟁 스스로 약화 건설 기술 부문 노조 탈퇴 계속 민주 노총 노동자 실질 도움 대신 과거 이념 투쟁 매몰 정치 세력 추구 개혁 완수 노동 적극 내미 대신 원칙 앞세우 정부 태도 노동 반발 이해 그렇 민주 노총 지금 조건 반정부 투쟁 일관 공감 국민 노동 현장 벌어지 조합 간부 불법 행위 거리 정권 퇴진 구호 외치 민주 노총 동의
2023-07-03,노총 정치 파업 예고 시민 한숨 재계 긴장,국민주 노동조합 연맹 노총 총파업 돌입 재계 긴장 노총 정부 퇴진 앞세우 전면전 벌이 최근 경제 사회 노동 위원회 경사 노위 참여 중단 선언 노총 파업 가능 우려 파업 분위기 국내 주요 사업장 경우 침체 국면 벗어나 경제 산업 전반 악영향 지적 국내 주력 산업 부문 현대 자동차 노조 총파업 이후 총파업 동참 확정 상태 현대 중공업 노조 최근 임금 협상 불발 계기 파업 찬반 투표 진행 이번 총파업 파업 대형 제조사 서비스 연맹 사무 금융 노조 화섬 식품 노조 건설 노조 공공 운수 노조 산하 지회 이번 총파업 참여 총파업 확산 분수령 전국 동시 다발 결의 대회 경기 열리 파업 동참 기업 우려 재계 관계자 노총 단위 규모 총파업 사내 노조 집행부 정도 참석 일반 이번 총파업 상견례 개시 시점 열리 영향 기업 적잖 상반기 실적 바닥 하반기 기대감 고개 상황 파업 확산 기업 경제 전반 악영향 정부 겨냥 민주 노총 이번 파업 노동 결속력 다지 행보 지적 노총 탈퇴 노조 관계자 노동자 권익 소수 집행부 이익 정치 판단 움직이 민주 노총 노동계 내부 불만 가중 문제 최근 규모 사업장 노조 탈퇴 정권 퇴진 목표 내걸 내부 응집력 키우 파업 해석 뉴스 노총 민주 일반 연맹 조합원 대로 민주 일반 연맹 총파업 대회 구호 외치 노조 실질 임금 인상 직무급 폐지 민간 위탁 철폐 정권 퇴진 촉구 뉴스 뉴스 무단 전재 배포 금지 노조 시작 건설 노조 금융 감독원 노조 대산 지회 금속 노조 지회 민주 노총 민주 노총 산하 금속 노조 최대 규모 지회 해양 노조 민주 노총 탈퇴 시도 가결 조건 찬성 넘어서 무산 절반 이상 노조원 탈퇴 찬성 결과 규모 인원 전국 도심 장기간 파업 교통 혼잡 불편 우려 목소리 적잖 총파업 무대 중구 퇴근 노동자 파업 결정 한편 이해 규모 도심 집회 상황 반갑 시민 볼모 의문 시청 인근 회사 다니 얼마 회사 근처 규모 집회 퇴근길 버스 사람 지하철 힘들 이번 동안 불편 예상 생각 스트레스 경찰 시민 불편 최소 엄정 대응 입장 경찰 청장 지난달 경찰청 상황 점검 회의 교통 혼잡 시민 불편 우려 가용 경력 장비 총동원 신고 집회 행진 보장 신고 범위 전국 기준 관리 경찰 민주 노총 파업 예고 임시 편성 부대 포함 최대 경찰 부대 동원 대응 계획 해산 조치 경찰 집행 과정 경찰관 폭행 공무 집행 방해 행위 발생 경우 현장 검거 지체 출석 요구 수사 진행 주동자 신청 사법 처리 방침
2023-07-03,시공 저개발국 투자 운영 국내 건설사,시험대 수주 장점 환율 리스크 헤징 관건 향후 사업 확대 공기업 기준 완화 저개발국 도로 대교 철도 규모 인프라 토목 공사 수요 재정 상황 정부 민간 건설사 발주 공사비 당장 지급 가능 민간 건설사 지분 투자 프로젝트 파이 자금 끌어오 공사 수행 발주 공사비 대신 건설사 운영 넘기 향후 수익 지급 약정 기간 지나 소유 운영 해당 정부 가져오 국내 건설사 해외 민관 협력 투자 개발 사업 적극 뛰어들 단순 도급 지분 투자 향후 운영 수익 확보 선진국 사업 모델 국내 건설 업계 수주 전략 자리 플랜트 제공 업계 따르 지난달 개통 플랜트 운영 향후 정부 방식 민관 협력 사업 방식 진행 사업 자금 민간 재원 투입 개발 협력 사업 민간 도로 공공 인프라 투자 건설 유지 보수 수익 정부 세금 감면 일부 재정 지원 상생 협력 모델 발주 정부 자국 행량 급증 필요 재정 플랜트 지분 투자 형태 추진 완공 운영 수익 가져가 공사비 충당 이후 소유 운영 정부 방식 플랜트 관계자 대출 일으키 중요 투자 유치 자금 확보 관건 당사 자신 부분 지분 참여 고정 안정 수입 강점 설명 플랜트 합작 방식 진행 프로젝트 해외 시공 기술 노하우 금융 조달 운영 경쟁력 인정받 대표 사례 건설 북동 지역 도로 공사 철도 공사 방식 수주 공사 건설 관계자 단순 도급 수주 고질 문제점 입찰 경쟁 사업 발굴 개발 역량 강화 기회 현대 건설 작년 스마트 시티 건설 방식 진행 업무 협약 방식 저개발국 발전 취지 모델 국내 건설사 지평 의미 환율 리스크 관리 경우 건설업 관계자 공사 수익금 리라 리스크 달러 베이스 기반 유로 베이스 환율 리스크 헤징 관건 업계 향후 사업 활성 공기업 공공 기관 예비 조사 기간 단축 제도 뒷받침 목소리 플랜트 참여 방식 저개발국 토목 공사 소형 원전 사업 적극 활용 전망 규모 시티 사업 개발 앞두 공공 기관 적극 참여 필요 상황 공공 기관 무분별 해외 자원 개발 사업 추진 도입 공기업 이상 해외 투자 평균 소요 투자 타이밍 놓치 지적 제기 기획 재정부 공기업 정부 기관 사업 예비 조사 운용 지침 개정 인력 부족 시스템 미비 진행 최근 해외 투자 사업 요하 사업 면제 내용 공공 기관 운영 법률 개정안 발의 국민 의원 해외 건설 협회 관계자 향후 사업 방식 진행 결국 들어가 일례 원전 폐기물 처리 사업 민간 건설사 노하우 부족 수력 원자력 협업 상황 조건 완화 강조
2023-07-03,건설 표주 대신,서구 검단 아파트 지하 주차장 슬래브 붕괴 현장 하주 차장 지붕 구조물 무너지 사고 발생 사진 뉴스 뉴스 대신 증권 건설 목표 주가 종가 연구원 검단 현장 조사 결과 발표 예정 현재 정황 분기 규모 충당 발생 재시공 범위 비용 규모 달라지 예단 보수 가정 아래 분기 영업 이익 추정 하향 조정 건설 주가 검단 사고 이후 부정 이슈 하락 연구원 기초 체력 훼손 가능 진행 수주 분양 결과 우수 신사업 부문 성장세 지속 밸류 이후 최저 수준
2023-07-03,기업 세대,용띠 경영학 출신 전성시대 정기선 기수 부상 한경 비즈니스 선정 그래픽 세대 고려 출신 경영학 전공 남성 경제 움직이 최고 경영자 표준 모델 한경 비즈니스 평가 정보 한경 비즈니스 선정 조사 결과 기업 이끄 평균 나이 대생 과반 차지 종합 학번 대생 세대 산업계 주도 얘기 대생 최근 조사 연령 차지 용띠 최다 호랑이띠 토끼띠 소띠 차지 평균 나이 닭띠 소띠 토끼띠 용띠 주류 이루 그래픽 평균 나이 주류 대표 용띠 그룹 회장 자동차 사장 사장 투자 증권 사장 한화 대표 지오 센트 사장 투자 증권 사장 사장 이름 토끼띠 수장 부회장 사장 디스플레이 사장 증권 사장 금융 지주 부회장 고려 아연 회장 현대 회장 토끼띠 세대 감소 세대 세대 정기선 해양 사장 연속 기록 기수 회장 고려 아연 회장 추형 사장 감소 기업 갈등 전쟁 지속 지정학 글로벌 경기 침체 우려 인사 줄이 변화 안정 영향 풀이 생존 전략 모색 쇄신 세대 교체 흐름 전쟁 장수 바꾸 기조 주요 그룹 기존 체제 유지 수장 전진 배치 관록 연륜 이상 현대 회장 필두 회장 금융 지주 회장 회장 부회장 화학 부회장 부회장 그래픽 출신 강세 경영 전공 최다 출신 학교 학부 기준 기업 배출 출신 과반 득세 수도 소재 대학 출신 활약 회장 경제학 전자 사장 사장 기계 공학 농협 생명 사장 행정학 동문 해외 대학 출신 외국인 제외 해외 대학 학부 졸업 회장 그룹 회장 인대 증권 부회장 대표 외파 전공 다양 분포 가운데 경영학 전공 경영학 출신 약진 이어지 단일 학과 경영학 기업 배출 부회장 이노베이션 부회장 대표 증권 사장 투자 증권 사장 경영학 경영학 경영학 출신 맹활약 전공 계열 경영학 경제학 회계학 경상계 비율 차지 산업 공학 컴퓨터 공학 기계 공학 이공 포함 박사 학위 취득 박사 의사 법조인 관료 출신 이색 이력 의학박사 회장 유일 회장 의과 의대 교수 산부인과 진료 의사 모임 의회 경계 넘나드 의사회 회원 법조 출신 건설 이끄 부회장 수료 지방 검찰청 검사 법조 입문 회장 상임 변호사 대표 법률 사무소 변호사 법무 비서관 법조인 활약 고려 아연 회장 수학 졸업 변호사 활동 대표 행정 고시 농림 축산 식품 관료 출신 고교 동문 파워 추세 출신 고교 경기 경복 전통 문고 출신 비율 특성 화고 불리 상고 공고 농고 금융 지주 회장 덕수 상고 하림 지주 회장 이리 농림 해외 고교 졸업 그룹 회장 회장 증권 부회장 특목고 출신 대원 외고 정기선 해양 사장 유일 여성 유일 여성 자리 증권 사장 사장 여성
